,0
0,"3-SAT autogerated in DIMACS-CNF format
p cnf 13 6
4 12 11 0
-3 -7 12 0
-3 -2 -4 0
1 -9 8 0
13 -10 3 0
-3 5 6 0"
1,"3-SAT autogerated in DIMACS-CNF format
p cnf 14 5
-4 -1 9 0
14 6 -13 0
-11 -5 7 0
8 6 3 0
2 10 12 0"
2,"3-SAT autogerated in DIMACS-CNF format
p cnf 11 4
-2 -11 8 0
-1 4 -7 0
1 -10 -5 0
6 9 -3 0"
3,"3-SAT autogerated in DIMACS-CNF format
p cnf 8 6
-2 5 -5 0
-3 1 -1 0
1 6 -7 0
-6 8 2 0
-3 -4 5 0
8 -7 -5 0"
4,"3-SAT autogerated in DIMACS-CNF format
p cnf 8 5
-7 1 3 0
6 2 -6 0
-7 2 -4 0
3 2 3 0
8 -5 -6 0"
5,"3-SAT autogerated in DIMACS-CNF format
p cnf 7 4
7 -6 4 0
4 3 -6 0
-2 5 -1 0
-7 3 3 0"
6,"3-SAT autogerated in DIMACS-CNF format
p cnf 6 7
4 -4 2 0
-1 -6 2 0
-1 -4 2 0
-4 1 -3 0
2 5 -4 0
-1 5 4 0
2 3 -6 0"
7,"3-SAT autogerated in DIMACS-CNF format
p cnf 10 12
-8 9 -3 0
-1 9 6 0
-2 6 3 0
4 -10 -6 0
-6 -4 6 0
-5 -5 -8 0
-2 -3 -8 0
-8 -6 5 0
8 3 7 0
5 -6 -10 0
2 6 3 0
7 -1 3 0"
8,"3-SAT autogerated in DIMACS-CNF format
p cnf 3 4
3 -3 -1 0
-3 -2 -1 0
-1 2 -3 0
-3 1 2 0"
9,"3-SAT autogerated in DIMACS-CNF format
p cnf 9 14
-1 3 2 0
-9 6 -3 0
-9 9 -8 0
-9 9 -6 0
6 8 -2 0
7 -7 8 0
1 -4 7 0
-1 2 -8 0
5 -2 3 0
-5 6 -3 0
-7 -2 7 0
5 3 9 0
8 -9 3 0
-4 -4 -8 0"
10,"3-SAT autogerated in DIMACS-CNF format
p cnf 7 13
-2 1 7 0
1 -2 3 0
6 5 3 0
3 -7 5 0
3 -5 5 0
5 7 -2 0
2 6 7 0
-4 -2 4 0
-4 2 -3 0
-7 7 -4 0
-2 6 -6 0
-7 5 3 0
-3 6 -6 0"
11,"3-SAT autogerated in DIMACS-CNF format
p cnf 4 7
3 -2 -3 0
-3 -4 -2 0
-1 -1 3 0
-2 -2 -4 0
4 3 4 0
-4 1 3 0
2 1 -1 0"
12,"3-SAT autogerated in DIMACS-CNF format
p cnf 3 7
-2 -2 2 0
-3 -1 -2 0
-3 1 3 0
3 1 3 0
-2 3 -2 0
-2 -3 -2 0
-1 -2 2 0"
13,"3-SAT autogerated in DIMACS-CNF format
p cnf 6 13
-2 -5 6 0
-1 1 -6 0
-3 -4 2 0
-6 -4 -2 0
3 4 -1 0
-3 -6 4 0
-2 2 5 0
2 2 5 0
-3 3 5 0
-2 4 6 0
-1 -6 2 0
1 6 -3 0
5 6 -2 0"
14,"3-SAT autogerated in DIMACS-CNF format
p cnf 5 11
5 -1 1 0
1 -1 5 0
5 5 4 0
-5 2 2 0
-2 5 5 0
4 -4 -1 0
2 4 -1 0
-1 -4 -2 0
-4 -2 -4 0
4 -4 3 0
-5 4 2 0"
15,"3-SAT autogerated in DIMACS-CNF format
p cnf 3 8
-1 -2 -3 0
-3 2 -3 0
1 -3 1 0
1 -1 3 0
3 2 2 0
-1 -2 2 0
3 1 -2 0
-1 -3 2 0"
16,"3-SAT autogerated in DIMACS-CNF format
p cnf 4 11
1 3 -3 0
3 -1 -3 0
1 1 -4 0
-4 4 -4 0
4 4 -1 0
1 -4 1 0
4 -2 3 0
2 -1 -1 0
-3 -2 4 0
4 -2 4 0
-1 -1 3 0"
17,"3-SAT autogerated in DIMACS-CNF format
p cnf 5 14
3 2 3 0
5 -4 3 0
-3 4 3 0
-3 -3 2 0
5 -2 3 0
2 1 4 0
4 1 -1 0
2 -4 -5 0
-1 -3 1 0
2 2 -1 0
-2 -5 -5 0
5 -4 -3 0
-1 5 4 0
5 2 -5 0"
18,"3-SAT autogerated in DIMACS-CNF format
p cnf 4 13
4 -1 4 0
2 2 1 0
3 -3 2 0
-1 3 2 0
-4 1 -4 0
-2 4 1 0
4 1 -3 0
-2 -2 2 0
4 -3 -3 0
3 -4 2 0
1 -2 -3 0
-1 -1 3 0
4 2 -2 0"
19,"3-SAT autogerated in DIMACS-CNF format
p cnf 5 17
-2 -1 -2 0
-3 -3 1 0
4 -3 -3 0
2 3 2 0
-2 5 4 0
5 2 -2 0
1 -4 -4 0
4 2 1 0
-3 -1 -5 0
4 5 -2 0
4 -3 -2 0
-4 2 -2 0
4 -3 -1 0
-4 -3 -1 0
-2 -4 -1 0
-3 4 -5 0
4 4 -1 0"
